longitude	latitude	flightaltitude	timediff, dayfrac	timediff, hh:mm:ss	day=0/night=1
-156.75	21.75	8138.16	-0.0859722220338881	-02:03:48	1
-156.1	20.73	7010.4	-0.0859143519774079	-02:03:43	0
-153.07	21.28	10972.8	-0.0858101854100823	-02:03:34	0
-153.38	22.73	9753.6	-0.0858101854100823	-02:03:34	0
-156.75	23.9	10972.8	-0.085775462910533	-02:03:31	0
-134.46	32.97	11277.6	-0.0856944443657994	-02:03:24	0
-156.27	21.78	9875.52	-0.0856944443657994	-02:03:24	0
-149.08	30.05	11277.6	-0.0854861112311482	-02:03:06	0
-140.87	28.16	10668	-0.0853935186751187	-02:02:58	0
-150.19	22.15	10972.8	-0.0852777776308358	-02:02:48	0
-156.65	23.17	10363.2	-0.0852662036195397	-02:02:47	0
-140.7	30.4	11582.4	-0.0852083335630596	-02:02:42	1
-155.13	23.58	10668	-0.0851736110635102	-02:02:39	0
-156.78	23.77	10972.8	-0.0850810185074806	-02:02:31	0
-154.9	22.27	10363.2	-0.0850694440305233	-02:02:30	0
-154.85	22.25	10972.8	-0.0850231479853392	-02:02:26	0
-138.99	26.72	11277.6	-0.0849421299062669	-02:02:19	0
-144.27	29.78	11582.4	-0.0848726853728294	-02:02:13	0
-155.12	23.63	8839.2	-0.0847800928167999	-02:02:05	0
-153.65	22.02	11277.6	-0.0847685188055038	-02:02:04	1
-151.6	21.48	10972.8	-0.084675925783813	-02:01:56	0
-154.88	22.83	9448.8	-0.0846296292729676	-02:01:52	1
-155.15	23.53	8534.4	-0.0845949072390795	-02:01:49	0
-137.5	30.86	10058.4	-0.0845717592164874	-02:01:47	1
-156.43	22.38	7559.04	-0.0845486111938953	-02:01:45	0
-146.97	33.68	10972.8	-0.0845138891600072	-02:01:42	0
-154.95	22.8	10058.4	-0.0844791666604579	-02:01:39	1
-156.67	21.68	6797.04	-0.0842592590488493	-02:01:20	1
-156.33	21.8	8595.36	-0.0842013889923692	-02:01:15	0
-154.9	22.25	11582.4	-0.0841550924815238	-02:01:11	0
-141.2	29.65	9448.8	-0.084143518935889	-02:01:10	0
-140.7	30.4	9448.8	-0.0840277778916061	-02:01:00	1
-149.08	30.05	10363.2	-0.0839814813807607	-02:00:56	0
-149.15	27.26	11582.4	-0.0839120368473232	-02:00:50	1
-123.19	32.44	11887.2	-0.083854166790843	-02:00:45	1
-139.43	28.7	10972.8	-0.0838194447569549	-02:00:42	0
-153.45	22.72	11277.6	-0.083715277723968	-02:00:33	0
-155.07	22.2	11582.4	-0.083703703712672	-02:00:32	1
-153.42	22.68	11277.6	-0.083692129701376	-02:00:31	0
-153.08	21.27	11582.4	-0.0835879626683891	-02:00:22	0
-155.18	23.55	10972.8	-0.0835763891227543	-02:00:21	0
-156.53	22.32	10241.28	-0.0835300926119089	-02:00:17	0
-156.67	23.33	10972.8	-0.0834953705780208	-02:00:14	0
-153.4	22.72	11582.4	-0.0834837965667248	-02:00:13	0
-147.65	33.14	9448.8	-0.0833680555224419	-02:00:03	1
-156.33	21.8	8442.96	-0.0833680555224419	-02:00:03	0
-132.32	31.05	10668	-0.0832870369777083	-01:59:56	0
-120.64	33.55	9326.88	-0.0832407404668629	-01:59:52	0
-155.02	22.18	11582.4	-0.0831828704103827	-01:59:47	1
-153.12	21.3	11277.6	-0.0831365738995373	-01:59:43	0
-140.7	30.4	10058.4	-0.0831134258769453	-01:59:41	1
