lon	lat	alt
-153.4109	22.693811	10363.2
-145.02812	26.486189	11277.6
-122.125854	33.455105	10668
-145.02827	26.486809	10668
-145.02821	26.486567	10058.4
-142.22243	27.638697	10972.8
-142.22627	27.65413	10668
-142.22267	27.639706	10058.4
-142.22223	27.637896	10363.2
-142.22246	27.638775	9144
-129.40565	31.834877	9753.6
-146.45493	25.874062	9753.6
-139.40128	28.71095	8839.2
-139.4014	28.71143	9144
-138.90703	26.752674	10972.8
-139.4014	28.71143	9144
-139.4014	28.71143	8534.4
-131.16322	31.289532	9144
-149.19008	24.592505	11277.6
-126.51288	32.579834	10363.2
-149.18184	24.558395	10363.2
-125.89251	30.253607	10972.8
-126.51354	32.582275	10058.4
-149.1916	24.598827	10058.4
-142.99973	27.329205	10058.4
-136.05667	27.724222	10363.2
-136.56366	29.705101	10363.2
-136.05667	27.724222	10363.2
-136.05824	27.730461	9753.6
-127.812126	32.25004	9144
-147.04439	28.410688	10972.8
-146.41359	25.891527	11582.4
-146.4139	25.892736	10363.2
-146.41354	25.891285	8534.4
-123.60745	33.27072	9753.6
-146.41393	25.892864	10363.2
-133.69528	30.572048	11887.2
-133.71004	30.628387	10363.2
-133.71004	30.628387	9144
-133.69495	30.57082	10668
-133.71004	30.628387	9144
-144.55222	30.736715	10972.8
-144.2995	29.771585	10363.2
-143.61153	27.072603	10058.4
-120.63682	33.721382	9723.12
-144.24388	29.557919	10972.8
-120.6915	33.918453	8869.68
-144.18166	29.316795	10363.2
-143.61368	27.076973	10363.2
-130.31131	29.46208	9753.6
-153.01862	21.250498	9753.6
-130.83786	31.467525	10363.2
-153.35054	22.654612	10363.2
-130.293	29.391232	10363.2
-121.25478	33.598564	8290.56
-148.17372	25.107456	9144
-140.7994	28.192955	12192
-140.7993	28.192629	10668
-140.79935	28.19278	10363.2
-140.31075	26.244732	10363.2
-140.80272	28.20619	10363.2
-140.31036	26.243176	10363.2
-132.79745	30.904915	11887.2
-132.79771	30.903898	9144
-150.57841	23.98155	10668
-127.949165	32.219673	10363.2
-150.54532	23.850695	10363.2
-144.71475	26.61912	10363.2
-137.97826	29.21777	10363.2
-137.97826	29.21777	12192
-137.97835	29.218136	11582.4
-138.67397	31.863588	10363.2
-137.97517	29.20573	10363.2
-137.97835	29.218136	9753.6
-129.4826	31.776892	9144
